# TileOPs Benchmark Report
Generated: 2026-08-12 05:18:32

## Environment

- **Torch version**: 2.13.0+cu132
- **CUDA version (torch)**: 13.2
- **GPU model**: NVIDIA H200
- **Driver version**: 595.71.05
- **GPU clocks**: SM current 1965 MHz, memory current 3201 MHz, application SM [Requested functionality has been deprecated] MHz, application memory [Requested functionality has been deprecated] MHz

## GatedDeltaNetPrefillFwdOp

### tileops

| batch | heads | seq_len | dim_k | dim_v | chunk_size | layout | dtype | latency_ms | tflops | bandwidth_tbs | n_samples | latency_p10_ms | latency_p90_ms | timing | speedup_vs_fla | config |
| 1 | 32 | 131072 | 128 | 128 | 64 | bthd | torch.float16 | 7.8118 | 70.3750 | 0.6895 | 12.0000 | 7.7945 | 7.8336 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 7.8432 | 70.0930 | 0.6868 | 12.0000 | 7.8270 | 7.8656 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 2.8819 | 71.5345 | 0.7013 | 34.0000 | 2.8123 | 5.7332 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 2.8782 | 71.6284 | 0.7022 | 34.0000 | 2.8070 | 6.2503 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 5.6191 | 73.3777 | 0.7191 | 16.0000 | 5.6012 | 9.0504 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 5.5973 | 73.6640 | 0.7219 | 16.0000 | 5.5844 | 8.8818 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 131072 | 128 | 128 | 64 | bthd | torch.float16 | 11.2535 | 73.2778 | 0.7180 | 10.0000 | 11.2024 | 11.2683 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 11.2017 | 73.6166 | 0.7213 | 10.0000 | 11.1655 | 11.2310 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 64 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 3.5357 | 77.7445 | 0.7622 | 26.0000 | 3.5234 | 5.4022 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 3.5281 | 77.9113 | 0.7638 | 26.0000 | 3.5165 | 4.9052 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 7.0964 | 77.4696 | 0.7592 | 12.0000 | 7.0789 | 7.1345 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 7.0822 | 77.6249 | 0.7607 | 12.0000 | 7.0609 | 7.1351 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 131072 | 128 | 128 | 64 | bthd | torch.float16 | 14.3281 | 76.7381 | 0.7519 | 10.0000 | 14.2720 | 14.4006 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 14.2987 | 76.8957 | 0.7534 | 10.0000 | 14.2607 | 14.3841 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
